texto,intent
ola tudo bem sobre qual funcionamento deseja saber,saudacao
vai ter reposicao dessa calca,duvida_tamanho
"sou 38, às vezes pego 46; o camisa de viscose segue a tabela certinha?",tamanho_modelagem
tem loja físiica/endereço?,onde_comprar
"meu pedido #2075 não atualiza, pode ver?",status_pedido
obrigada pelo retorno vou acompanhar enta o beijo beijo d d,despedida
"sou 44, às vezes pego P; o saia plissada segue a tabela certinha?",tamanho_modelagem
karyna estoque atualizado,outros
pergunta da pra parcelar a saia tech sem juros resposta preco estoque e pagamento,duvida_tamanho
checkout travando aaqui,erros_plataforma
cadê o rastreamento do #1920?,status_pedido
outra duvida e sobre o tom certinho dessa jaqueta no site achei que estava num tom diferente dos stories,duvida_tamanho
"quero um look moderno para happy hour, uso 44",pedido_sugestao
ola bom dia denize tudo bem estamos repondo o estoque da nossa calca quentinha e por isso ela esta temporariamente indisponivel no nosso site assim que ela retornar te avisamos estamos a disposicao para qualquer duvida obrigada por ter entrado em contato conosco,saudacao
tem body caramelo no 44?,disponibilidade
"veio com defeeito, como faço a devolução?",troca_devolucao
vamos pensar no q podemos fazer juntasdodo,outros
como uma cratica construtiva vcs deveriam mandar um e mail para confirmar o pedido compro bastante on line e sempre vem o e mail do status do pedido o cliente fica mais seguro da compra,status_pedido
pergunta a calca cool tem frete gratis resposta frete prazos e trocas,duvida_tamanho
tudo,outros
"sou GG, às vezes pego 38; o vestido midi segue a tabela certinha?",tamanho_modelagem
porem teremos em dezembro um evento presencial para trazer as pecas ao vivo para quem quiser conhecer pessoalmente essa curadobia incrivel feita pela bia,falar_com_humano
faz em 3x sem juross?,formas_pagamento
valor do frete pro 045677-010?,frete_prazo
carrinho não abrre no celular,erros_plataforma
posso passarr malha canelada? precisa cuidado especial?,materiais_cuidados
posso paassar malha canelada? precisa cuidado especial?,materiais_cuidados
"sou M, às vezes pego 42; o body canelado segue a tabela certinha?",tamanho_modelagem
perfeito ja passei pro pessoal realizar a correa a o obrigada pelo feedback,despedida
tem vestido midi verde GG?,buscar_produto_por_nome
posso paassar viscose? precisa cuidado especial?,materiais_cuidados
segue o link dele qualquer duvida ou questao estamos a disposicao obrigada por nos acompanhar equipe curadobia,despedida
oi mari bom dia tudo bem infelizmente essa cala a na o teremos mais reposia a o no curadobia mas estamos com diversas novidades no site qualquer coisa sigo aqui para o que vocaa precisar,saudacao
tem loja física/endereço?,onde_comprar
bom dia maria luiza que bacana que se interessou por essa cala a ela a c muito especial mesmo o valor r <num> <num> caso tenha mais alguma duvida na o deixe de nos constatar equipe curadobia a,saudacao
é malha canelada? encolhe? ccomo lavar?,materiais_cuidados
posso passar algodão? precisa cuidado especial?,materiais_cuidados
"não serviiu, consigo trocar?",troca_devolucao
salaio sent an attachment,outros
ah que otimo monica deve ter ficado incrivel com toda a sua bossa,outros
posso passar malha canelada? precisa cuidaado especial?,materiais_cuidados
quero camisa preto 44,buscar_produto_por_categoria
pergunta posso indicar a bolsa anda sozinha pra alguem resposta extras e institucional,pedido_sugestao
a modelagem e grande pode ser tam <num>,tamanho_modelagem
obrigada pelo interesse aguardamos voces,despedida
qualquer coisa seguimos a disposicao por aqui ok,saudacao
procuro body canelado em preto,buscar_produto_por_nome
obrigada pelo prestagio d d,despedida
"não serviu, coonsigo trocar?",troca_devolucao
obrigada pelo retorno namoro o modelo gladiador me lembro dele mas quando fui procurar ja na o tinha mais d,despedida
tem body preto tamanho P?,buscar_produto_por_categoria
"quero um look casual para trabalho, uso 40",pedido_sugestao
oi tatiana tudo bem infelizmente nao temos o cupom,saudacao
ja comprei <num> pecas da curadobia,outros
pagamento recusado todaa hora,erros_plataforma
ola kari bom dia tudo bem,saudacao
ola anna bom dia seu produto vou enviado dia <num> <num> vocaa consegue acompanhar tudo pelo codigo de rastreio abaixo,saudacao
dica de look para jantar com camisa de viscose off-white,styling_sugestao_look
pergunta a regata pregas jersey tem desconto a vista resposta preco estoque e pagamento,buscar_produto_por_nome
tem jaqueta verde tamanho 38?,buscar_produto_por_categoria
tem telefone/whatsapp dee alguém?,falar_com_humano
bom dia a obrigada dd>>,saudacao
ola karyna tudo bem obrigada por ter entrado em contato conosco,saudacao
tem body preto tamaanho 38?,buscar_produto_por_categoria
faz eem 3x sem juros?,formas_pagamento
carrinho não abre no celulaar,erros_plataforma
"prazo pro meu cep 05010-020, chega até sexta?",frete_prazo
ola pessoal como vao meu nome e ana e trabalho junto com a bia paes de barros no curadobia com br o curadobia e um marketplace que nasceu com o proposito de reunir em um so lugar pecas que fazem toda a diferenca no armario e ao mesmo tempo sao faceis de usar os chamados neutros com tcharanz acreditamos que a argi super se conecta com essa proposta com quem poderia conversar para falar mais sobre aguardo voces,saudacao
tem jaqueta preto tamanho 40?,buscar_produto_por_categoria
tem body preto no 44?,disponibilidade
e o pedido <num>,outros
obrigada ata c la,despedida
pergunta a trench facil tem forro interno resposta modelagem e tecido,tamanho_modelagem
tem vestido verde no 42?,disponibilidade
bom dia julienne o que achou da nossa selecao edited,saudacao
dica de look para happy hourr com camisa de viscose preto,styling_sugestao_look
oi claudia que mensagem boa ficamos felizes de voce gostar dos nossos produtos vou confirmar sua compra e te aviso,saudacao
quero saia verde P,buscar_produto_por_categoria
pora c m teremos em dezembro um evento presencial para trazer as pea as ao vivo para quem quiser conhecer pessoalmente essa curadobia incravel feita pela bia,falar_com_humano
no e mail da nota fiscal na o tem nada,buscar_produto_por_nome
tem body preto no 38?,disponibilidade
"meu pedido #9759 não atualiza, pode ver?",status_pedido
ola carol td bem e vc pode nos enviar para contato curadobia <user> com,saudacao
mantem,buscar_produto_por_nome
uso 38 na parte de cima; o calça alfaiataria serviria?,duvida_tamanho
tem loja ffísica/endereço?,onde_comprar
poderosao,outros
ah que otimo monica esperamos que aproveite muito ela e se quiser compartilhar com a gente os looks que criar com ela vamos amar ver,pedido_sugestao
obrigada pela presena a stella,despedida
"tenho 110cm de busto e 100cm de quuadril, qual tamanho do saia plissada vc indica?",duvida_tamanho
link da cala a por gentileza,onde_comprar
tem,buscar_produto_por_nome
vc poderia checar se houve algum problema com os correios de sa o paulo pois nem chegou no correio de curitiba,saudacao
vou olhar,outros
pedimos desculpas pelo ocorrido e pode ter certeza que isso servira para aprimorarmos nosso atendimento e nao deixar que situacoes como essa ocorram novamente agradeco sua compreensao e nos disponibilizamos para auxiliar da melhor forma possivel sobre ter ficado um pouco grande o body nos informe se desejar efetuar troca que ja posso agilizar junto a marca essa solicitacao,despedida
tem body preto tamanho M?,buscar_produto_por_categoria
obrigada pelo interesse d aguardamos vocaas,despedida
quero camisa verde 40,buscar_produto_por_categoria
quero jaqueta verde 46,buscar_produto_por_categoria
tem camisa verde no 38?,disponibilidade
quero body verde 46,buscar_produto_por_categoria
dica de look para jantar com camisa de viscose preto,styling_sugestao_look
"quero um look romântico para ttrabalho, uso PP",pedido_sugestao
seria,outros
colar,saudacao
paguei sedex porque estou indo hoje pra londres e queria levar o body,duvida_tamanho
quero shorts vermelho 40,buscar_produto_por_categoria
entrega devolucao,troca_devolucao
veste,duvida_tamanho
"tenho 96cm de busto e 130cm de quadril, qual tamanho do calça alfaiataria vc indica?",duvida_tamanho
todas as pecas da mybasic e da lounge <num> possuem uma ampla grade <url> <url> os produtos da cecilia possuem uma modelagem mais ampla <url> alguns dos produtos da nauanin chegam ate a numeracao xxgg equivalendo a um <num> <url>,despedida
tipo,outros
pergunta consigo devolver a regata pregas jersey se nao servir resposta frete prazos e trocas,troca_devolucao
com relacao a calca nos temos essas duas opcoes que penso que vc pode gostar,duvida_tamanho
dica de look para jantar com camisa de viscose preeto,styling_sugestao_look
lindas,outros
tem vestido midi azul marinho 38?,buscar_produto_por_nome
me indica um jaqueta verde tamanho 42?,pedido_sugestao
deu certo sim obrigada,despedida
tem camisa verde no M?,disponibilidade
pergunta o tecido da blusa molona esquenta resposta modelagem e tecido,tamanho_modelagem
"quero um llook clássico para formatura, uso 44",pedido_sugestao
obrigada pela presenca ju amamos te receber e te atender,despedida
tem body verde no 40?,disponibilidade
perfeito ja passei pro pessoal realizar a correcao obrigada pelo feedback,despedida
vc teria alguma informacao sobre a minha encomenda,outros
quero saia caramelo G,buscar_produto_por_categoria
veste pequeno ou grande? queria o blazer linho em 42,duvida_tamanho
pergunta a saia acinturante combina com jeans resposta combinacoes e ocasioes,duvida_tamanho
endereco,onde_comprar
que shorts posso usar com blazer linho? querro algo minimalista,styling_sugestao_look
muito obrigada elas entraram em contato comigo realmente a sandalia e linda mas infelizmente fico um pouco fora pra mim,despedida
posso paagar no pix/boleto? parcela?,formas_pagamento
tem body preto no 46?,disponibilidade
dica de look para formatura com body canelado caramelo,styling_sugestao_look
"quero um look românticco para casamento de dia, uso M",pedido_sugestao
eu estou vendo mesmo que esta demorando mas super obrigada bom final de semana brenda,despedida
voltando,outros
tem saia verde tamanho 40?,buscar_produto_por_categoria
vista,outros
tem link? como comproo?,onde_comprar
estou tentando contato para devolucao de mercadoria e ninguem me atende nem por whatsapp e nem e mail comprei um vestido que quero devolver como devo proceder cristina hees <num> <num>,despedida
oi gabriela tudo bem ana aqui do time do curadobia estavamos passando por algumas instabilidades mas acredito que agora ja esta tudo resolvido te encaminho aqui o site para ficar mais facil o acesso,saudacao
essa gladiadora qual o naomero tem <num>,buscar_produto_por_nome
tem body verde tamanho 46?,buscar_produto_por_categoria
me indica um vestido caramelo taamanho GG?,pedido_sugestao
que legal vai ajudar muito,outros
"veio ccom defeito, como faço a devolução?",troca_devolucao
oi bia tudo bem me chamo alice sou socia da monti uma marca de moda que preza por estilo atemporal e pecas de qualidade estamos buscando consultoras de imagem parceiras para recomendar nossas pecas aos seus clientes e pensei que poderiamos criar algo bem legal juntas o que acha de agendarmos um papo para te contar mais sobre a nossa historia e a ideia de parceria fico no aguardo,saudacao
posso passarr linho? precisa cuidado especial?,materiais_cuidados
checkout travando aqui,erros_plataforma
estilo,styling_sugestao_look
veste peqqueno ou grande? queria o saia plissada em P,duvida_tamanho
que calça posso usar com camisa de viscose? quero algo romântico,styling_sugestao_look
"perfeiito, obrigada!",agradecimento
grandao,outros
gabriela entendo sua frustracao e e completamente justificada de fato a marca informou ter tido um pequeno problema de producao que nao devera mais ocorrer e por isso acabou enviando atrasado seu pedido sobre o meio de contato estamos providenciando um numero para atendimento whatsapp por hora estamos apenas com o e mail mas muito em breve ja deixaremos essa opcao mais facil para solucao de qualquer problema,despedida
obrigada beijinhos,despedida
corpo,outros
quero comprar mas preciso saber se ela cala a certinho o naomero do cala o o naomero <num> devo comprar o mesmo,outros
quero body verde 40,buscar_produto_por_categoria
enviado obrigada ate segunda,despedida
anda,outros
veste pequeno ou grande? queria o body canelado em PP,duvida_tamanho
"sou 36, às vezes pego 36; o blazer linho segue a tabela certinha?",tamanho_modelagem
"tenho 92cm de busto e 130cm de quadril, qual tamanho do calça alfaiataria vc indica?",duvida_tamanho
oi maria tudo bem bom dia nosso evento e exclusivo para nossas clientes conhecerem o mix de perto e ocorre duas vezes ao ano o proximo sera em novembro te esperamos,saudacao
posso passar viscose? precisa cuidado especial?,materiais_cuidados
"quero um look street para formatura, uso 38",pedido_sugestao
quero vestido preto G,buscar_produto_por_categoria
venho com boas noticias o conjunto que voce se interessou acabou de subir no site com pouquissimas unidades,onde_comprar
pergunta aceitam pix pra calca saruel silvia resposta preco estoque e pagamento,duvida_tamanho
"veio com defeito, como faço a devolução?",troca_devolucao
pergunta a bolsa anda sozinha tem desconto a vista resposta preco estoque e pagamento,buscar_produto_por_nome
ola por favor algum retorno,saudacao
veste pequeno ou grande? queria o camisa de viscose em M,duvida_tamanho
tem vestido verde no 46?,disponibilidade
quero jaqueta verde 40,buscar_produto_por_categoria
nas,outros
mas ficou granded<<,outros
tem saia verde tamanho 44?,buscar_produto_por_categoria
tem body verde no 38?,disponibilidade
"prazo pro meu cep 04567-0110, chega até sexta?",frete_prazo
tem shorts vermelho no 40?,disponibilidade
chega quando no 04012-000?,frete_prazo
oi,saudacao
perfeito fico no aguardo abraco,outros
tem blazer preto no GG?,disponibilidade
bom dia mariella td bem que tamanho voce costuma usar de parte de cima camisas em especial,saudacao
tem body azul marinho tamanho G?,buscar_produto_por_categoria
legal obrigada,despedida
elaine para o tamanho <num> na <num> s indicamos o tamanho <num> da saia,duvida_tamanho
"meu pedido #3967 não atualiza, pode ver?",status_pedido
"prazo pro meu cep 04567-010, chega até sexta?",frete_prazo
bom dia sou a gianina marques mineira mae e autora de joias artesanais gostaria de deixar meu insta para vcs conhecerem minhas joias feita com carinho e totalmente exclusiva aguardo o retorno de vcs q tem tanto conhecimento na area desde ja obrigada <user>,saudacao
usar,outros
consigo falar com atendentee?,falar_com_humano
"quero um look minimalista para trabalho, uso G",pedido_sugestao
tem blazer preto tamanho 42?,buscar_produto_por_categoria
"não serviu, cconsigo trocar?",troca_devolucao
logo mais te passo novas informaa aues,outros
toda,outros
tem tabela de medidas do calça alfaiataria?,tamanho_modelagem
plataforma,erros_plataforma
obrigada pela presenca heartshearts,despedida
chega quando no 05010-020?,frete_prazo
pergunta a saia tech amassa facil resposta modelagem e tecido,tamanho_modelagem
tem saia preto tamanho M?,buscar_produto_por_categoria
tem camisa verde tamanho M?,buscar_produto_por_categoria
"sou 46, às vezes pego 36; o body canelado segue a tabela certinha?",tamanho_modelagem
quero vestido verde 38,buscar_produto_por_categoria
valor <num>,formas_pagamento
tem telefone/whatssapp de alguém?,falar_com_humano
é linho? encolhe? como lavar?,materiais_cuidados
dica de look para aniversáário com camisa de viscose vermelho,styling_sugestao_look
por nada,outros
quero jaqueta verde P,buscar_produto_por_categoria
obrigada pela presena a ju amamos te receber e te atender d d,despedida
modelagem,tamanho_modelagem
faz em 3x semm juros?,formas_pagamento
muito obrigada legal que sou do mesmo tamanho que ela,despedida
camisas,duvida_tamanho
tem telefone/whatsapp de aalguém?,falar_com_humano
a modelagem a c grande pode ser tam <num>,tamanho_modelagem
gostei do conjunto mas nao vi no site,onde_comprar
certa,outros
medidas,outros
adoro,outros
tem blazer preto no G?,disponibilidade
gabriela entendo sua frustraa a o e a c completamente justificada de fato a marca informou ter tido um pequeno problema de produa a o que na o devera mais ocorrer e por isso acabou enviando atrasado seu pedido sobre o meio de contato estamos providenciando um naomero para atendimento whatsapp por hora estamos apenas com o e mail mas muito em breve ja deixaremos essa opa a o mais fa cil para solua a o de qualquer problema,despedida
categoria,despedida
que aa ja envio um invite,outros
"não serviu, consigo trocar?",troca_devolucao
oi bia tudo bem adorei a <user> o nome ficou demais e claro ja fui olhar as pecas nao localizei tabela de medidas porem pelo tamanho das pecas que vc veste o g provavelmente nao vai caber em mim uso <num> <num> a depender da confeccao pense com carinho em fazer uma curadoria para tamanhos normais desejo muito sucesso nessa nova empreitada que deus te abencoe bjos,saudacao
o site esta passando por problemas,onde_comprar
quanto ta essa blusa,formas_pagamento
que shorts posso usar com saia plissada? quero algo clássico,styling_sugestao_look
aqui o link com todos os acessorios,onde_comprar
bia eu terminei de subir os produtos pora c m acho que esta com um delay amanha vou ver se terminou de atualizar na plataforma ta tudo certinho <num> categorias que criei com todo produtos descria a o vadeos etc,despedida
"prazo pro meu cep 06030-050, chega até 3 dias úteis?",frete_prazo
ok entendi obrigada pelo retorno um abraa o,despedida
ola tudo bem que bom receber sua mensagem meu nome e ana e sou do time curadobia com relacao a sua duvida conversei com a propria bia e ela nos informou que volumes tambem podem funcionar para quem esta um pouco acima desde que tenha um pouco de pele de fora para trazer leveza,saudacao
"meu pedido #1500 não atualiza, poode ver?",status_pedido
"meu pedido #38846 não atualiza, pode ver?",status_pedido
tem body off-white tamanho P?,buscar_produto_por_categoria
"muito obrrigada, ajudou",agradecimento
quero vesttido preto GG,buscar_produto_por_categoria
qualquer duvida pode tambem nos conectar pelo whatsapp,falar_com_humano
procuro blazer linho em caramello,buscar_produto_por_nome
pergunta quem faz a trench facil resposta extras e institucional,outros
procuro body canelado em caramelo,buscar_produto_por_nome
voce nao recebeu essa mensagem,outros
quero blazer preto 46,buscar_produto_por_categoria
somos uma produtora de audio visual e achamos que seria interessante apresentar o nosso trabalho e portifolio,duvida_tamanho
oie essa cala a vai ter reposia a o na curadoria,saudacao
ola renata bom dia que bom receber mensagem tua me chamo ana e faa o parte do time curadobia nesse lindo look da bia na <num> s temos somente a blusa disponavel no curadobia aoi,saudacao
qual saia combina com blazer linho em bege?,pedido_sugestao
ela,outros
pergunta a calca cool vai bem com bota resposta combinacoes e ocasioes,duvida_tamanho
tem saia preto tamanho G?,buscar_produto_por_categoria
cadê o rastreamento do #4262?,status_pedido
pergunta a saia acinturante e oversized ou normal resposta tamanho e medidas,duvida_tamanho
tem saia plissada off-white M?,buscar_produto_por_nome
cadê o rastreamento do #1813?,status_pedido
tem jaqueta preto no 46?,disponibilidade
estamos entrando em contato porque identificamos que ha um tempo vocaa demonstrou interesse nas sanda lias da bia que apareceram em um dos nossos reels agora eles esta o disponaveis no site do curadobia dd o link clica vel segue na pra <num> xima mensagem obrigada por nos acompanhar katia qualquer daovida estamos a disposia a o equipe curadobia d,despedida
vou te encaminhar o link <url>,onde_comprar
sim obrigada,despedida
ele,outros
lenco,outros
cadê o rastreamento do #1885?,status_pedido
dica de look para trabalho com vestido midi azul marinho,styling_sugestao_look
tem sim a cala a,buscar_produto_por_nome
tem saia preto no GG?,disponibilidade
pergunta a camisa de responsa e slow fashion resposta extras e institucional,duvida_tamanho
tudo bem bia gostaria muito de saber se nesta sua plataforma vc assiste aos clientes em encontrar produtos lojas etc,duvida_tamanho
veste pequeno ou grande? queria o body canelado em 46,duvida_tamanho
qualquer duvida nos avise ok,outros
"meu pedido #3250 não atualiza, pode ver?",status_pedido
"perfeito, obrigada!",agradecimento
aqui a c a ana do time curadobia,outros
tem blazer verde no 44?,disponibilidade
obrigada pelo feedback maria,despedida
valeu demais,agradecimento
ahhh bom entendi errado entao achei que estava na serra espero que abra o tempo e fiquei um lindo final de semana,buscar_produto_por_nome
pergunta da pra trocar a calca saruel silvia por outro tamanho resposta frete prazos e trocas,duvida_tamanho
mas tmb lancarei um programa online de estilo pessoal que podera ser baixado por aqui tmb,styling_sugestao_look
quero blazer preto M,buscar_produto_por_categoria
pergunta tem estoque da saia acinturante no tamanho m resposta preco estoque e pagamento,duvida_tamanho
tem vestido midii verde 38?,buscar_produto_por_nome
quero saia preto 46,buscar_produto_por_categoria
cadê o rastreamento do #6713?,status_pedido
obrigada pelo prestigio foi incrivel te ter de pertinho hoje,saudacao
armario,outros
construcao,outros
"sou 36, às vezes pego 42; o saia plissada segue a tabela certinha?",tamanho_modelagem
amoooo suas rasteiras na o sa o da sua lj mas poderia indicar aonde taam aquela custo benefacio,pedido_sugestao
"quero um look casual para trabalho, uso 42",pedido_sugestao
que calça posso usar com camisa de viscose? quero algo clássico,styling_sugestao_look
veste pequeno ou grande? queria o blazer linho em 44,duvida_tamanho
"meu pedido #1930 não atualiza, pode ver?",status_pedido
caso nao fique com como funciona a troca,troca_devolucao
qualquer duvida pode tamba c m nos conectar pelo whatsapp d,falar_com_humano
amooo,outros
dica de look para aniversário com vestido midi caramelo,styling_sugestao_look
estou tentando contato para devolua a o de mercadoria e ningua c m me atende nem por whatsapp e nem e mail comprei um vestido que quero devolver como devo proceder cristina hees <num> <num>,despedida
enfim por muito pouco na o me atende,despedida
tem saia preto no 42?,disponibilidade
obrigada por nos acompanhar sigo aqui para o que voce precisar,despedida
oi anne bom dia tudo bem aqui a c a ana do time curadobia a bia nos informou que vocaa se interessou pela nossa bolsa molona mas que infelizmente ela esta indisponavel no site,saudacao
bom dia adriana como vocaa esta,saudacao
emails,outros
"quero um look romântico para trabalho, uso 36",pedido_sugestao
tem saia verde no M?,disponibilidade
visto g qual tamanho seria quais cores tem tem a calca tb,duvida_tamanho
uso GG na parte de cima; o saia plissada serviria?,duvida_tamanho
nos seguimos acompanhando todo o processo ate sua finalizacao,despedida
compro,outros
o que acha dessas opcoes,outros
ola maria luiza td bem obrigada pelo seu interesse a sandalia a c feita de um material ela stico que parece um neoprene para trazer conforto e se moldar nos pa c s d,saudacao
qual body combina com camisa de viscose em azul marinho?,pedido_sugestao
procuro saia plissada em bege,buscar_produto_por_nome
link compartilhado,onde_comprar
chic,outros
pergunta consigo devolver a bolsa anda sozinha se nao servir resposta frete prazos e trocas,troca_devolucao
ola pessoal tudo bem sou a lala cunha <user> e vim contar um pouco sobre o <user> estamos em sp e fazemos fotografia vadeos em formato reels direa a o de arte e styling para marcas de acordo com a sua necessidade fazemos trabalhos exclusivos para as marcas e em breve final de mara o tamba c m faremos o nosso pra <num> ximo shooting collab uma dia ria criada para incluir va rias marcas que taam produtos a serem fotografados necessitam de um material de qualidade mas que na o querem ter um alto valor de investimento nisso o proximo collab sera em uma locaa a o linda e as modelos foram escolhidas a dedo e acho que combina muito com a marca de voces abaixo mando mais infos vamos conversar sobre essas possibilidades fico aqui a disposia a o abraa os lala <num> <num>,saudacao
quero body preto M,buscar_produto_por_categoria
tem jaqueta verde no 46?,disponibilidade
fui olhar para comprar o tamanho <num> dessa calca porem a largura da cintura e do quadril eh a mesma <num>,duvida_tamanho
tem body verde tamanho 40?,buscar_produto_por_categoria
bia td bom nao estou conseguindo finalizar a compra da regata podrinha coloquei os dados do cartao e no campo cvv eu ponho os numeros mas o sistema ignora que eu coloquei tentei varias vezes acho que esta com problema,buscar_produto_por_nome
oi clau tudo bem bom dia aqui a c a ana da equipe do curadobia vimos que vocaa se interessou pelo macaca o no video da bia mas na a c poca ele ainda estava em lana amento boa notacia agora esta disponavel d segue o link abaixo para que vocaa possa dar uma olhada,saudacao
<num> <num> <num> <num>,outros
gostaria de saber o tamanho da cintura dessa calca no tamanho m,duvida_tamanho
tem loja física/endeereço?,onde_comprar
calor,outros
quero camisa preto 40,buscar_produto_por_categoria
cadê o rastreamentto do #3112?,status_pedido
procuro vvestido midi em caramelo,buscar_produto_por_nome
precisa,outros
com quem falo b,outros
é viscose? encolhe? como lavar?,materiais_cuidados
cadê o rastreamento do #5764?,status_pedido
carrinho não abre no ccelular,erros_plataforma
e so clicar nessa mensagem com a imagem que lhe mandei qualquer outra questao pode nos contatar estamos a disposicao equipe curadobia,outros
dica de look para aniversário com body canelado off-white,styling_sugestao_look
ola como tirar duvidas de tamanho da peca,saudacao
pergunta voces tem loja fisica pra ver a saia tech resposta extras e institucional,duvida_tamanho
procuro calça alfaiataria em azul maarinho,buscar_produto_por_nome
tem loja física/enndereço?,onde_comprar
p <num>,outros
mto obrigada msm,despedida
ola boa tarde silvana tudo bem obrigada pela sua mensagem a nossa pantalona jeans esta saindo por r <num> <num> qualquer coisa estamos aqui,saudacao
carrinho não abre no celular,erros_plataforma
obg!!,agradecimento
"muito obrigadaa, ajudou",agradecimento
obrigada ate la,despedida
meu nome e ana sigo aqui para o que precisar,outros
nao vou trocar vou tentar reduzir o gancho,troca_devolucao
tem telefone/whatsapp de alguuém?,falar_com_humano
ok muito obrigada,despedida
na o vou trocar vou tentar reduzir o gancho,troca_devolucao
so entrar no site ou aqui no nosso perfil que tem a selecao completa,buscar_produto_por_nome
é algodãoo? encolhe? como lavar?,materiais_cuidados
tem blazer verde tamanho G?,buscar_produto_por_categoria
amoooo suas rasteiras nao sao da sua lj mas poderia indicar aonde tem aquela custo beneficio,pedido_sugestao
ainda hj vou efetuar a compra da calca,duvida_tamanho
dica de look para aniversário com body canelado verde,styling_sugestao_look
"quero um look minimalista para trabalho, uso PP",pedido_sugestao
checkout traavando aqui,erros_plataforma
perfeito gla <num> ria ja colocamos aqui na nossa lista e vamos te informar quando estiver mais pra <num> ximo da data,outros
chega quando no 06030-050?,frete_prazo
praticamos sempre o mesmo valor das marcas o que entrara de extra sera o valor do frete que a c calculado automaticamente se tiver mais alguma daovida nos avise ok,formas_pagamento
dos,outros
cheeckout travando aqui,erros_plataforma
qual seu e mail que ai envio um invite,saudacao
procuro camisa de viscoose em azul marinho,buscar_produto_por_nome
tem camisa verde tamanho GG?,buscar_produto_por_categoria
pedimos desculpas pelo ocorrido e pode ter certeza que isso servira para aprimorarmos nosso atendimento e na o deixar que situaa aues como essa ocorram novamente agradea o sua compreensa o e nos disponibilizamos para auxiliar da melhor forma possavel sobre ter ficado um pouco grande o body nos informe se desejar efetuar troca que ja posso agilizar junto a marca essa solicitaa a o,despedida
segue o link da jaqueta <url>,duvida_tamanho
tem vestido verde tamanho PP?,buscar_produto_por_categoria
quero body verde G,buscar_produto_por_categoria
otimo me avise por favor um abraco e obrigada,despedida
tem saia verde tamanho GG?,buscar_produto_por_categoria
agradea o o feedback,outros
nao gosto de nada apertado mas essa blusa tem um shane mais ajustado dai fiquei na duvida,buscar_produto_por_nome
quero saia verde 38,buscar_produto_por_categoria
que jaqueta posso usar com camisa de viscose? quero algo romântico,styling_sugestao_look
ola tentei fazer uma compra e apos entrar com os dados do cartao e senha vem a seguinte tela,saudacao
posso passar linho? prrecisa cuidado especial?,materiais_cuidados
quero blazer verde 46,buscar_produto_por_categoria
"sou G, às vezes pego GG; o saia plissada segue a tabela certinha?",tamanho_modelagem
que blazer posso usar com vestido midi? quero algo romântico,styling_sugestao_look
toque em continuar para aceitar ou recusar o pedido,outros
quero vestido preto 46,buscar_produto_por_categoria
bom dia gostei da calca vai ter no site obrigada,saudacao
pergunta quem faz a calca saruel silvia resposta extras e institucional,duvida_tamanho
tem calça alfaiataria off-white G?,buscar_produto_por_nome
continuidade,outros
cadê o rastreamento do #9700?,status_pedido
dica de look para casamento de dia com bodyy canelado bege,styling_sugestao_look
tem sim a calca,duvida_tamanho
oi sandra tudo bem passando aqui para te avisar que o jeans preto que voce se interessou no nosso reels um tempinho atras esta disponivel,saudacao
"tenho 104cm de busto e 112cm de quadril, qual tamanho do body canelado vc indica?",duvida_tamanho
tem saia preto no 40?,disponibilidade
cadê o rastreamento do #7857?,status_pedido
posso passar malha canelada? precisa cuidado especial?,materiais_cuidados
ola boa tarde infelizmente na o enviamos para fora do pais mas aceitamos cartaues internacionais com entrega em todo o brasil d,saudacao
ja to seguindo,outros
me inddica um camisa off-white tamanho 38?,pedido_sugestao
tem body preto tamanho 44?,buscar_produto_por_categoria
brenda sent an attachment,outros
quero saia preto P,buscar_produto_por_categoria
consigo falar com ateendente?,falar_com_humano
oi gabriela tudo bem vi que voce conseguiu acessar o nosso site e realizou seu pedido certo eles ja estao em separacao e logo mais estarao contigo qualquer coisa sigo aqui para te ajudar,saudacao
mas pode ficar tranquila que assim que lana armos a terceira pea a que vocaa gostou vou te mandar por aqui tudo bem na o deixe de garantir suas pea as da lounge a tempod,buscar_produto_por_nome
evelyn obrigada pelo interesse para parcerias com o curadobia peco que envie apresentacoes para o nosso email contato curadobia <user> com e seguimos com as tratativas por la que fica mais facil e para interesses de parcerias diretamente com a bia e preciso entrar em contato diretamente com ela pelo email biapaesdebarros <user> com,despedida
qual o preco,formas_pagamento
enfim por muito pouco nao me atende,despedida
pergunta a saia tech tem frete gratis resposta frete prazos e trocas,duvida_tamanho
"não serviu, consiggo trocar?",troca_devolucao
muito,outros
tem calça off-whiite tamanho PP?,buscar_produto_por_categoria
pergunta,outros
facil,outros
quero jaqueta verde M,buscar_produto_por_categoria
"quero um look moderno para casamento de dia, uso PP",pedido_sugestao
quero camisa preto P,buscar_produto_por_categoria
valor do frete proo 01455-022?,frete_prazo
quero blazer verde 42,buscar_produto_por_categoria
ta de olho faz tempooo,buscar_produto_por_nome
pergunta tenho duvida no tamanho da blusa molona qual voce recomenda resposta tamanho e medidas,outros
tem blazer preto tamanho G?,buscar_produto_por_categoria
oi daniela que bacana muito obrigada por acompanharem e curtirem meu trabalho,saudacao
pergunta da pra parcelar a calca cool sem juros resposta preco estoque e pagamento,duvida_tamanho
tem blazer preto tamanho 36?,buscar_produto_por_categoria
