texto,cluster
pora c m teremos em dezembro um evento presencial para trazer as pea as ao vivo para quem quiser conhecer pessoalmente essa curadobia incravel feita pela bia,5
no e mail da nota fiscal na o tem nada,2
tem body preto no 38?,4
"meu pedido #9759 não atualiza, pode ver?",6
ola carol td bem e vc pode nos enviar para contato curadobia <user> com,5
mantem,10
uso 38 na parte de cima; o calça alfaiataria serviria?,1
tem loja ffísica/endereço?,5
poderosao,10
ah que otimo monica esperamos que aproveite muito ela e se quiser compartilhar com a gente os looks que criar com ela vamos amar ver,8
obrigada pela presena a stella,0
"tenho 110cm de busto e 100cm de quuadril, qual tamanho do saia plissada vc indica?",3
link da cala a por gentileza,8
tem,10
vc poderia checar se houve algum problema com os correios de sa o paulo pois nem chegou no correio de curitiba,2
vou olhar,8
pedimos desculpas pelo ocorrido e pode ter certeza que isso servira para aprimorarmos nosso atendimento e nao deixar que situacoes como essa ocorram novamente agradeco sua compreensao e nos disponibilizamos para auxiliar da melhor forma possivel sobre ter ficado um pouco grande o body nos informe se desejar efetuar troca que ja posso agilizar junto a marca essa solicitacao,5
tem body preto tamanho M?,11
obrigada pelo interesse d aguardamos vocaas,0
quero camisa verde 40,13
quero jaqueta verde 46,13
tem camisa verde no 38?,7
quero body verde 46,13
dica de look para jantar com camisa de viscose preto,8
"quero um look romântico para ttrabalho, uso PP",9
seria,10
colar,10
paguei sedex porque estou indo hoje pra londres e queria levar o body,2
quero shorts vermelho 40,1
entrega devolucao,2
veste,10
"tenho 96cm de busto e 130cm de quadril, qual tamanho do calça alfaiataria vc indica?",3
todas as pecas da mybasic e da lounge <num> possuem uma ampla grade <url> <url> os produtos da cecilia possuem uma modelagem mais ampla <url> alguns dos produtos da nauanin chegam ate a numeracao xxgg equivalendo a um <num> <url>,3
tipo,10
pergunta consigo devolver a regata pregas jersey se nao servir resposta frete prazos e trocas,2
com relacao a calca nos temos essas duas opcoes que penso que vc pode gostar,8
dica de look para jantar com camisa de viscose preeto,1
lindas,10
tem vestido midi azul marinho 38?,4
me indica um jaqueta verde tamanho 42?,7
deu certo sim obrigada,0
tem camisa verde no M?,7
pergunta o tecido da blusa molona esquenta resposta modelagem e tecido,1
"quero um llook clássico para formatura, uso 44",9
obrigada pela presenca ju amamos te receber e te atender,0
tem body verde no 40?,7
perfeito ja passei pro pessoal realizar a correcao obrigada pelo feedback,0
vc teria alguma informacao sobre a minha encomenda,5
quero saia caramelo G,8
veste pequeno ou grande? queria o blazer linho em 42,1
pergunta a saia acinturante combina com jeans resposta combinacoes e ocasioes,1
endereco,10
que shorts posso usar com blazer linho? querro algo minimalista,1
muito obrigada elas entraram em contato comigo realmente a sandalia e linda mas infelizmente fico um pouco fora pra mim,8
posso paagar no pix/boleto? parcela?,8
tem body preto no 46?,4
dica de look para formatura com body canelado caramelo,8
"quero um look românticco para casamento de dia, uso M",9
eu estou vendo mesmo que esta demorando mas super obrigada bom final de semana brenda,0
voltando,10
tem saia verde tamanho 40?,7
vista,10
tem link? como comproo?,5
estou tentando contato para devolucao de mercadoria e ninguem me atende nem por whatsapp e nem e mail comprei um vestido que quero devolver como devo proceder cristina hees <num> <num>,5
oi gabriela tudo bem ana aqui do time do curadobia estavamos passando por algumas instabilidades mas acredito que agora ja esta tudo resolvido te encaminho aqui o site para ficar mais facil o acesso,5
essa gladiadora qual o naomero tem <num>,8
tem body verde tamanho 46?,7
me indica um vestido caramelo taamanho GG?,1
que legal vai ajudar muito,8
"veio ccom defeito, como faço a devolução?",2
oi bia tudo bem me chamo alice sou socia da monti uma marca de moda que preza por estilo atemporal e pecas de qualidade estamos buscando consultoras de imagem parceiras para recomendar nossas pecas aos seus clientes e pensei que poderiamos criar algo bem legal juntas o que acha de agendarmos um papo para te contar mais sobre a nossa historia e a ideia de parceria fico no aguardo,5
posso passarr linho? precisa cuidado especial?,2
checkout travando aqui,5
estilo,10
veste peqqueno ou grande? queria o saia plissada em P,1
que calça posso usar com camisa de viscose? quero algo romântico,1
"perfeiito, obrigada!",0
grandao,10
gabriela entendo sua frustracao e e completamente justificada de fato a marca informou ter tido um pequeno problema de producao que nao devera mais ocorrer e por isso acabou enviando atrasado seu pedido sobre o meio de contato estamos providenciando um numero para atendimento whatsapp por hora estamos apenas com o e mail mas muito em breve ja deixaremos essa opcao mais facil para solucao de qualquer problema,5
obrigada beijinhos,0
corpo,10
quero comprar mas preciso saber se ela cala a certinho o naomero do cala o o naomero <num> devo comprar o mesmo,5
quero body verde 40,13
enviado obrigada ate segunda,0
anda,10
veste pequeno ou grande? queria o body canelado em PP,3
"sou 36, às vezes pego 36; o blazer linho segue a tabela certinha?",4
"tenho 92cm de busto e 130cm de quadril, qual tamanho do calça alfaiataria vc indica?",3
oi maria tudo bem bom dia nosso evento e exclusivo para nossas clientes conhecerem o mix de perto e ocorre duas vezes ao ano o proximo sera em novembro te esperamos,5
posso passar viscose? precisa cuidado especial?,2
"quero um look street para formatura, uso 38",9
quero vestido preto G,11
venho com boas noticias o conjunto que voce se interessou acabou de subir no site com pouquissimas unidades,5
pergunta aceitam pix pra calca saruel silvia resposta preco estoque e pagamento,2
"veio com defeito, como faço a devolução?",2
pergunta a bolsa anda sozinha tem desconto a vista resposta preco estoque e pagamento,2
ola por favor algum retorno,8
veste pequeno ou grande? queria o camisa de viscose em M,1
tem vestido verde no 46?,7
quero jaqueta verde 40,13
nas,10
mas ficou granded<<,8
tem saia verde tamanho 44?,7
tem body verde no 38?,7
"prazo pro meu cep 04567-0110, chega até sexta?",12
tem shorts vermelho no 40?,4
chega quando no 04012-000?,12
oi,10
perfeito fico no aguardo abraco,8
tem blazer preto no GG?,8
bom dia mariella td bem que tamanho voce costuma usar de parte de cima camisas em especial,1
tem body azul marinho tamanho G?,3
legal obrigada,0
elaine para o tamanho <num> na <num> s indicamos o tamanho <num> da saia,3
"meu pedido #3967 não atualiza, pode ver?",6
"prazo pro meu cep 04567-010, chega até sexta?",12
bom dia sou a gianina marques mineira mae e autora de joias artesanais gostaria de deixar meu insta para vcs conhecerem minhas joias feita com carinho e totalmente exclusiva aguardo o retorno de vcs q tem tanto conhecimento na area desde ja obrigada <user>,8
usar,10
consigo falar com atendentee?,2
"quero um look minimalista para trabalho, uso G",9
tem blazer preto tamanho 42?,11
"não serviu, cconsigo trocar?",2
logo mais te passo novas informaa aues,8
toda,10
tem tabela de medidas do calça alfaiataria?,3
plataforma,10
obrigada pela presenca heartshearts,0
chega quando no 05010-020?,12
pergunta a saia tech amassa facil resposta modelagem e tecido,3
tem saia preto tamanho M?,11
tem camisa verde tamanho M?,7
"sou 46, às vezes pego 36; o body canelado segue a tabela certinha?",4
quero vestido verde 38,13
valor <num>,10
tem telefone/whatssapp de alguém?,5
é linho? encolhe? como lavar?,2
dica de look para aniversáário com camisa de viscose vermelho,8
por nada,10
quero jaqueta verde P,13
obrigada pela presena a ju amamos te receber e te atender d d,0
modelagem,10
faz em 3x semm juros?,8
muito obrigada legal que sou do mesmo tamanho que ela,0
camisas,1
tem telefone/whatsapp de aalguém?,5
a modelagem a c grande pode ser tam <num>,3
gostei do conjunto mas nao vi no site,5
certa,10
medidas,10
adoro,0
tem blazer preto no G?,8
gabriela entendo sua frustraa a o e a c completamente justificada de fato a marca informou ter tido um pequeno problema de produa a o que na o devera mais ocorrer e por isso acabou enviando atrasado seu pedido sobre o meio de contato estamos providenciando um naomero para atendimento whatsapp por hora estamos apenas com o e mail mas muito em breve ja deixaremos essa opa a o mais fa cil para solua a o de qualquer problema,5
categoria,10
que aa ja envio um invite,0
"não serviu, consigo trocar?",2
oi bia tudo bem adorei a <user> o nome ficou demais e claro ja fui olhar as pecas nao localizei tabela de medidas porem pelo tamanho das pecas que vc veste o g provavelmente nao vai caber em mim uso <num> <num> a depender da confeccao pense com carinho em fazer uma curadoria para tamanhos normais desejo muito sucesso nessa nova empreitada que deus te abencoe bjos,3
o site esta passando por problemas,5
quanto ta essa blusa,8
que shorts posso usar com saia plissada? quero algo clássico,1
aqui o link com todos os acessorios,5
bia eu terminei de subir os produtos pora c m acho que esta com um delay amanha vou ver se terminou de atualizar na plataforma ta tudo certinho <num> categorias que criei com todo produtos descria a o vadeos etc,5
"prazo pro meu cep 06030-050, chega até 3 dias úteis?",12
ok entendi obrigada pelo retorno um abraa o,0
ola tudo bem que bom receber sua mensagem meu nome e ana e sou do time curadobia com relacao a sua duvida conversei com a propria bia e ela nos informou que volumes tambem podem funcionar para quem esta um pouco acima desde que tenha um pouco de pele de fora para trazer leveza,5
"meu pedido #1500 não atualiza, poode ver?",6
"meu pedido #38846 não atualiza, pode ver?",6
tem body off-white tamanho P?,3
"muito obrrigada, ajudou",8
quero vesttido preto GG,1
qualquer duvida pode tambem nos conectar pelo whatsapp,5
procuro blazer linho em caramello,8
pergunta quem faz a trench facil resposta extras e institucional,2
procuro body canelado em caramelo,8
voce nao recebeu essa mensagem,2
quero blazer preto 46,4
somos uma produtora de audio visual e achamos que seria interessante apresentar o nosso trabalho e portifolio,5
oie essa cala a vai ter reposia a o na curadoria,8
ola renata bom dia que bom receber mensagem tua me chamo ana e faa o parte do time curadobia nesse lindo look da bia na <num> s temos somente a blusa disponavel no curadobia aoi,8
qual saia combina com blazer linho em bege?,8
ela,10
pergunta a calca cool vai bem com bota resposta combinacoes e ocasioes,8
tem saia preto tamanho G?,11
cadê o rastreamento do #4262?,6
pergunta a saia acinturante e oversized ou normal resposta tamanho e medidas,3
tem saia plissada off-white M?,3
cadê o rastreamento do #1813?,6
tem jaqueta preto no 46?,4
estamos entrando em contato porque identificamos que ha um tempo vocaa demonstrou interesse nas sanda lias da bia que apareceram em um dos nossos reels agora eles esta o disponaveis no site do curadobia dd o link clica vel segue na pra <num> xima mensagem obrigada por nos acompanhar katia qualquer daovida estamos a disposia a o equipe curadobia d,5
vou te encaminhar o link <url>,5
sim obrigada,0
ele,10
lenco,10
cadê o rastreamento do #1885?,6
dica de look para trabalho com vestido midi azul marinho,8
tem sim a cala a,8
tem saia preto no GG?,8
pergunta a camisa de responsa e slow fashion resposta extras e institucional,1
tudo bem bia gostaria muito de saber se nesta sua plataforma vc assiste aos clientes em encontrar produtos lojas etc,5
veste pequeno ou grande? queria o body canelado em 46,4
qualquer duvida nos avise ok,8
"meu pedido #3250 não atualiza, pode ver?",6
"perfeito, obrigada!",0
aqui a c a ana do time curadobia,8
tem blazer verde no 44?,7
obrigada pelo feedback maria,0
valeu demais,8
ahhh bom entendi errado entao achei que estava na serra espero que abra o tempo e fiquei um lindo final de semana,8
pergunta da pra trocar a calca saruel silvia por outro tamanho resposta frete prazos e trocas,3
mas tmb lancarei um programa online de estilo pessoal que podera ser baixado por aqui tmb,5
quero blazer preto M,8
pergunta tem estoque da saia acinturante no tamanho m resposta preco estoque e pagamento,3
tem vestido midii verde 38?,7
quero saia preto 46,4
cadê o rastreamento do #6713?,6
obrigada pelo prestigio foi incrivel te ter de pertinho hoje,0
armario,10
construcao,10
"sou 36, às vezes pego 42; o saia plissada segue a tabela certinha?",4
amoooo suas rasteiras na o sa o da sua lj mas poderia indicar aonde taam aquela custo benefacio,8
"quero um look casual para trabalho, uso 42",9
que calça posso usar com camisa de viscose? quero algo clássico,1
veste pequeno ou grande? queria o blazer linho em 44,4
"meu pedido #1930 não atualiza, pode ver?",6
caso nao fique com como funciona a troca,2
qualquer duvida pode tamba c m nos conectar pelo whatsapp d,5
amooo,10
dica de look para aniversário com vestido midi caramelo,8
estou tentando contato para devolua a o de mercadoria e ningua c m me atende nem por whatsapp e nem e mail comprei um vestido que quero devolver como devo proceder cristina hees <num> <num>,5
enfim por muito pouco na o me atende,2
tem saia preto no 42?,4
obrigada por nos acompanhar sigo aqui para o que voce precisar,0
oi anne bom dia tudo bem aqui a c a ana do time curadobia a bia nos informou que vocaa se interessou pela nossa bolsa molona mas que infelizmente ela esta indisponavel no site,5
bom dia adriana como vocaa esta,0
emails,10
"quero um look romântico para trabalho, uso 36",9
tem saia verde no M?,7
visto g qual tamanho seria quais cores tem tem a calca tb,3
uso GG na parte de cima; o saia plissada serviria?,3
nos seguimos acompanhando todo o processo ate sua finalizacao,5
compro,10
o que acha dessas opcoes,8
ola maria luiza td bem obrigada pelo seu interesse a sandalia a c feita de um material ela stico que parece um neoprene para trazer conforto e se moldar nos pa c s d,8
qual body combina com camisa de viscose em azul marinho?,1
procuro saia plissada em bege,8
link compartilhado,5
chic,10
pergunta consigo devolver a bolsa anda sozinha se nao servir resposta frete prazos e trocas,2
ola pessoal tudo bem sou a lala cunha <user> e vim contar um pouco sobre o <user> estamos em sp e fazemos fotografia vadeos em formato reels direa a o de arte e styling para marcas de acordo com a sua necessidade fazemos trabalhos exclusivos para as marcas e em breve final de mara o tamba c m faremos o nosso pra <num> ximo shooting collab uma dia ria criada para incluir va rias marcas que taam produtos a serem fotografados necessitam de um material de qualidade mas que na o querem ter um alto valor de investimento nisso o proximo collab sera em uma locaa a o linda e as modelos foram escolhidas a dedo e acho que combina muito com a marca de voces abaixo mando mais infos vamos conversar sobre essas possibilidades fico aqui a disposia a o abraa os lala <num> <num>,5
quero body preto M,3
tem jaqueta verde no 46?,7
fui olhar para comprar o tamanho <num> dessa calca porem a largura da cintura e do quadril eh a mesma <num>,3
tem body verde tamanho 40?,7
bia td bom nao estou conseguindo finalizar a compra da regata podrinha coloquei os dados do cartao e no campo cvv eu ponho os numeros mas o sistema ignora que eu coloquei tentei varias vezes acho que esta com problema,2
oi clau tudo bem bom dia aqui a c a ana da equipe do curadobia vimos que vocaa se interessou pelo macaca o no video da bia mas na a c poca ele ainda estava em lana amento boa notacia agora esta disponavel d segue o link abaixo para que vocaa possa dar uma olhada,8
<num> <num> <num> <num>,10
gostaria de saber o tamanho da cintura dessa calca no tamanho m,3
tem loja física/endeereço?,5
calor,10
quero camisa preto 40,1
cadê o rastreamentto do #3112?,6
procuro vvestido midi em caramelo,8
precisa,10
com quem falo b,8
é viscose? encolhe? como lavar?,2
cadê o rastreamento do #5764?,6
carrinho não abre no ccelular,2
e so clicar nessa mensagem com a imagem que lhe mandei qualquer outra questao pode nos contatar estamos a disposicao equipe curadobia,5
dica de look para aniversário com body canelado off-white,8
ola como tirar duvidas de tamanho da peca,8
pergunta voces tem loja fisica pra ver a saia tech resposta extras e institucional,5
procuro calça alfaiataria em azul maarinho,1
tem loja física/enndereço?,5
p <num>,10
mto obrigada msm,0
ola boa tarde silvana tudo bem obrigada pela sua mensagem a nossa pantalona jeans esta saindo por r <num> <num> qualquer coisa estamos aqui,8
carrinho não abre no celular,2
obg!!,10
"muito obrigadaa, ajudou",0
obrigada ate la,0
meu nome e ana sigo aqui para o que precisar,8
nao vou trocar vou tentar reduzir o gancho,2
tem telefone/whatsapp de alguuém?,5
ok muito obrigada,0
na o vou trocar vou tentar reduzir o gancho,8
so entrar no site ou aqui no nosso perfil que tem a selecao completa,5
é algodãoo? encolhe? como lavar?,2
tem blazer verde tamanho G?,7
amoooo suas rasteiras nao sao da sua lj mas poderia indicar aonde tem aquela custo beneficio,8
ainda hj vou efetuar a compra da calca,8
dica de look para aniversário com body canelado verde,8
"quero um look minimalista para trabalho, uso PP",9
checkout traavando aqui,5
perfeito gla <num> ria ja colocamos aqui na nossa lista e vamos te informar quando estiver mais pra <num> ximo da data,5
chega quando no 06030-050?,12
praticamos sempre o mesmo valor das marcas o que entrara de extra sera o valor do frete que a c calculado automaticamente se tiver mais alguma daovida nos avise ok,5
dos,10
cheeckout travando aqui,8
qual seu e mail que ai envio um invite,5
procuro camisa de viscoose em azul marinho,1
tem camisa verde tamanho GG?,7
pedimos desculpas pelo ocorrido e pode ter certeza que isso servira para aprimorarmos nosso atendimento e na o deixar que situaa aues como essa ocorram novamente agradea o sua compreensa o e nos disponibilizamos para auxiliar da melhor forma possavel sobre ter ficado um pouco grande o body nos informe se desejar efetuar troca que ja posso agilizar junto a marca essa solicitaa a o,5
segue o link da jaqueta <url>,5
tem vestido verde tamanho PP?,7
quero body verde G,13
otimo me avise por favor um abraco e obrigada,0
tem saia verde tamanho GG?,7
agradea o o feedback,0
nao gosto de nada apertado mas essa blusa tem um shane mais ajustado dai fiquei na duvida,1
quero saia verde 38,13
que jaqueta posso usar com camisa de viscose? quero algo romântico,1
ola tentei fazer uma compra e apos entrar com os dados do cartao e senha vem a seguinte tela,5
posso passar linho? prrecisa cuidado especial?,2
quero blazer verde 46,13
"sou G, às vezes pego GG; o saia plissada segue a tabela certinha?",3
que blazer posso usar com vestido midi? quero algo romântico,1
toque em continuar para aceitar ou recusar o pedido,2
quero vestido preto 46,4
bom dia gostei da calca vai ter no site obrigada,0
pergunta quem faz a calca saruel silvia resposta extras e institucional,8
tem calça alfaiataria off-white G?,1
continuidade,10
cadê o rastreamento do #9700?,6
dica de look para casamento de dia com bodyy canelado bege,8
tem sim a calca,8
oi sandra tudo bem passando aqui para te avisar que o jeans preto que voce se interessou no nosso reels um tempinho atras esta disponivel,1
"tenho 104cm de busto e 112cm de quadril, qual tamanho do body canelado vc indica?",3
tem saia preto no 40?,4
cadê o rastreamento do #7857?,6
posso passar malha canelada? precisa cuidado especial?,2
ola boa tarde infelizmente na o enviamos para fora do pais mas aceitamos cartaues internacionais com entrega em todo o brasil d,5
ja to seguindo,8
me inddica um camisa off-white tamanho 38?,1
tem body preto tamanho 44?,11
brenda sent an attachment,5
quero saia preto P,8
consigo falar com ateendente?,2
oi gabriela tudo bem vi que voce conseguiu acessar o nosso site e realizou seu pedido certo eles ja estao em separacao e logo mais estarao contigo qualquer coisa sigo aqui para te ajudar,5
mas pode ficar tranquila que assim que lana armos a terceira pea a que vocaa gostou vou te mandar por aqui tudo bem na o deixe de garantir suas pea as da lounge a tempod,8
evelyn obrigada pelo interesse para parcerias com o curadobia peco que envie apresentacoes para o nosso email contato curadobia <user> com e seguimos com as tratativas por la que fica mais facil e para interesses de parcerias diretamente com a bia e preciso entrar em contato diretamente com ela pelo email biapaesdebarros <user> com,5
qual o preco,8
enfim por muito pouco nao me atende,2
pergunta a saia tech tem frete gratis resposta frete prazos e trocas,2
"não serviu, consiggo trocar?",2
muito,10
tem calça off-whiite tamanho PP?,1
pergunta,10
facil,10
quero jaqueta verde M,13
"quero um look moderno para casamento de dia, uso PP",9
quero camisa preto P,1
valor do frete proo 01455-022?,12
quero blazer verde 42,13
ta de olho faz tempooo,8
pergunta tenho duvida no tamanho da blusa molona qual voce recomenda resposta tamanho e medidas,3
tem blazer preto tamanho G?,11
oi daniela que bacana muito obrigada por acompanharem e curtirem meu trabalho,0
pergunta da pra parcelar a calca cool sem juros resposta preco estoque e pagamento,2
tem blazer preto tamanho 36?,11
bom dia gostei da cala a vai ter no site obrigada,0
pergunta voces tem loja fisica pra ver a calca cool resposta extras e institucional,5
ola bom dia infelizmente essa cala a tamba c m saiu do nosso mix estamos com novos produtos e novas marcas entrando no curadobia esperamos que goste qualquer coisa sigo aquid,8
ok muito obrigada d,0
me indica um camisa veerde tamanho P?,3
tem shorts vermelho tamanho 46?,1
quero body verde GG,13
posso passar algodãão? precisa cuidado especial?,2
quero vestido preto P,11
quero saia verde G,13
ola que bom que vocaa se interessou por na <num> s muito bom receber tua mensagem joana infelizmente essa cala a na o esta no curadobia e a c acervo pessoal da bia mesmod esse video tem a finalidade de apresentar as nossas camisas d esperamos que goste,8
tem camisa preto tamanho M?,11
com relacao a previsao de entrega por conta dessa questao na plataforma as marcas tambem nao receberam a notificacao do pedido e por isso ira acabar atrasando um pouco a sua compra mas nos tambem ja entramos em contato com a stella bastos sobre a sua compra e logo mais ela estara com voce desculpa pelo ocorrido qualquer coisa nos avise obrigada por ser nossa cliente equipe curadobia,5
milene perguntamos para a bia e ela te indicou comprar o tamanho <num> dessa jaqueta por vocaa na o estar acostumada a roupas oversized o que acha d,1
nao,10
ainda tem calça alfaiataria em M?,1
quero blazer verde 36,13
tem vestido midi off-white G?,1
obrigada pela presenca livia,0
tem saia preto no 36?,4
como falo com algua c m daa,8
tem link? ccomo compro?,5
bia eu terminei de subir os produtos porem acho que esta com um delay amanha vou ver se terminou de atualizar na plataforma ta tudo certinho <num> categorias que criei com todo produtos descricao videos etc,5
eu quero sim mas vc poderia me enviar a foto do modelo so pra eu confirmar,8
tem lojaa física/endereço?,5
quero body preto G,3
gostaria de saber qual a altura e medidas da bia pra entender melhor o tamanho de referaancia,3
pergunta da pra trocar a trench facil por outro tamanho resposta frete prazos e trocas,2
"prazo pro meu cep 05010-020, chega até 3 dias úteis?",12
combine,10
ola tudo bem meu nome e leonardo trabalho na importadora <user> <user> vi o instagram da marca e voces tem o perfil lulitex muito sofisticacao e bom gosto trabalhamos com pronta entrega e importacao de tecidos exclusivos de acordo com a demanda do cliente nosso showroom tem um acervo enorme sera um prazer recebe los em uma visita poderia me passar o contato do estilo ou compras desde ja agradeco a atencao att leonardo jose e mail leonardo <user> com br pabx <num> <num> <num> <num> whatsapp <num> <num> <num> <num> www lulitex com br,5
tem body preto no 42?,4
tem body verde tamanho 42?,7
tem vestido verde no 38?,7
tem camisa verde tamanho 42?,7
"meu pedido #6134 não atualiza, pode ver?",6
justinho,10
procuro body canelado em vermelho,3
bia tudo bem tenho uma festa bem legal e o traje a c black and white pensei na blusa pah mas queria saber se o tecido fica vistoso e se vocaa recomenda alguma cala a mais festa para combinar beijos julie,1
ok obrigada d,0
ola emilia boa noite tudo bem agradecemos demais o feedback e pode ter certeza que uma das preocupaa aues que estamos tendo a c seguir na busca por marcas que tragam opa aues e grades que representam o maior naomero de corpos possavel sobre a tabela de medida estamos buscando ajustar obrigada por nos informar e seguiremos aprimorando cada vez mais bjos d,5
ola tudo bem e com vcs vi que vcs enviaram um e mail para na <num> s vou responder vcs por la ok um beijo e muito obrigada pelo contato < <num>,5
ola obrigada qual a previsa o de entrega,0
amanda nosso pessoal tecnico pediu se possivel se cadastrar atraves desse link,5
"prazo pro meu cep 01255-022, chega até essa semana?",12
"prazo pro meu cep 01455-022, chega até essa semana?",12
ate segunda,8
tem body caneelado vermelho 40?,4
oie sa o lindas pora c m aquele modelo foi o que mais me agradou mas tranquilo super obrigada pela atena a o,8
tem camisa de viscose vermelho 46?,1
ate agora nada,8
d r,10
projeto,10
tem body verde tamanho 44?,7
ola como vai muito prazer meu nome a c ana e trabalho aqui no curadobia na o sei se recordam pora c m conversamos no primeiro semestre do ano passado <num> sobre esse projeto da bia paes de barros desde la evoluamos bastante e estamos concretizados como um marketplace em potencial crescimento queremos compartilhar com vocaas nosso site para darem uma olhada curadobia com br ainda temos a toruss em foco o que acham de retomarmos contato aguardo vocaas,5
consigo falar com atenndente?,2
tem calça alfaiataria off-white 40?,1
"quero um look clássico para formatura, uso 46",9
eu amo todos os seus looks combina <num> com o meu estilo queria ter todas as pecas para mim pena que moro do outro lado do mundo,8
quero vestido verde 40,13
tem vestido verde tamanho M?,7
ola bom dia sou muito fa da bia mas nunca comprei no curadoria uma duvida como faco para escolher um tamanho com mais seguranca tem uma tabela de medidas para servir de referencia obrigada,3
tem camisa verde tamanho 44?,7
é linho? enncolhe? como lavar?,2
me indica um saia caramelo tamanho 46?,1
dica de look para trabalho com saia plissada vermelho,8
tem body preto no M?,3
tem camisa preto no PP?,11
valor do frete pro 01255-0022?,12
valor do frete pro 04012-000?,12
ficamos felizes que tenha curtido ela a c muito especial mesmo segue aqui mais detalhes,8
com relacao a outra blusa que voce gostou ela esta em processo de lancamento e ainda nao esta a venda no nosso site mas independente desse fator nao seria possivel unificar o frete nesse caso pois o frete so fica unificado para as pecas da mesma marca,1
de todo modo agradeco por perguntar,0
bom dia,0
gostosa,10
tem body verde tamanho GG?,7
quero jaqueta verde GG,13
alta,10
tem camisa verde tamanho 46?,7
tem camisa verde no 46?,7
sozinha,10
consigo falar com atendeente?,2
essa modelagem é mais enxuta? o blazer linho veste grande?,1
ah que a <num> timo monica esperamos que aproveite muito ela e se quiser compartilhar com a gente os looks que criar com ela vamos amar ver,8
tem jaqueta verde no GG?,7
"prazo pro meu cep 01455-022, chega até sexta?",12
ah show vou enviar o invite,8
pagaamento recusado toda hora,2
temm link? como compro?,5
claro nossas medidas do tamanho <num> para o macacao cool sao ombro <num> cm cintura total <num> cm comprimento <num> cm qualquer outra questao estamos a disposicao,3
e eu como estou na praia torcendo para nao baixar,8
bom dia gostaria de adquirir essa calca mas nao esta mais disponivel podem me ajudar obrigada,8
qual jaqueta combina com body canelado em off-white?,1
tem body verde no 42?,7
cadê o rastreamento do #8937?,6
poderosa,10
"meu pedido #4626 não atualiza, pode ver?",6
quero blazer verde G,13
"tenho 116cm de busto e 118cm de quadril, qual tamanho do saia plissada vc indica?",3
dica de look parra formatura com blazer linho caramelo,8
conseguem me ajudar por aqui,8
pergunta aceitam pix pra trench facil resposta preco estoque e pagamento,5
cintura,3
amanda nosso pessoal ta c cnico pediu se possavel se cadastrar atrava c s desse link,5
ola dany bom dia caso tenha algum problema com o tamanho voce pode optar por trocar ou devolver o produto basta nos informar pelo e mail contato curadobia <user> com que iremos encaminhar sua solicitacao para a marca responsavel a marca ira proceder com os proximos passos como envio do codigo de logistica reversa e tudo mais,5
oi pri estao entrando muitas marcas incriveis novas no curadobia porem a oysho nao e uma delas,5
quero camisa verde P,13
certo obrigada o prazo de entrega sao <num> dias mesmo,12
tem looja física/endereço?,3
vocaa poderia me passar o contato dos responsa veis,8
me indica umm camisa azul marinho tamanho 36?,1
tem saia plissada off-white GG?,3
temos ela ainda no tamanho <num> e <num>,3
tem jaqueta preto tamanho 36?,11
que vestido posso usar com vestido midi? quero algo casual,1
bia esse seu curadobia esta um arraso muito tentador parabens pelo projeto uma duvida qual a sua altura estou interessadissima nessa calca mas sou baixa <num> cm e geralmente tenho que fazer a barras das calcas o que nao e muito facil com essa obrigada,3
"não serviuu, consigo trocar?",2
quero blazer preto 40,4
me indica um saia caramelo tamanho GG?,3
me indica um jaqueta off-white tamanho 446?,1
tem saia plissada verde GG?,7
"sou 42, às vezes pego G; o camisa de viscose segue a tabela certinha?",4
bom dia karyna infelizmente na o trabalhamos com cupom para <num> aa compra aindaa <num> i mas estamos aqui para te auxiliar no processo inteiro,5
tenho <num> <num> essa cala a esta mais curta para mim mesmo te aconselho a comprar um tamanho pequeno,3
"muito obrigada, aajudou",0
tem jaqueta verde no M?,7
oi renata boa tarde ana aqui vocaa conseguiu dar uma olhada nas opa aues que te mandei qualquer coisa sigo aqui para o que vocaa precisar ta,8
a regata chiquetosa vai voltar pro estoque,8
posso pagar noo pix/boleto? parcela?,2
tem body canelado caramelo PP?,8
perguntas,10
"tenho 116cm de busto e 118cm de quadril, qual tamanho do vestido midi vcc indica?",3
ahhh entendia muito obrigada d,0
sheila essa foi a tabela passada para nos pela marca estamos em contato com eles para ter exatamente a medida do quadril inclusive obrigada pela pergunta pois com ela vamos atualizar o nosso site mas podemos te adiantar que ele tem uma estrutura folgada no quadril entao acreditamos que ele vai dar certo para ti no tamanho <num> para te passar outra base nas fotos do produto no nosso site a bia esta vestindo o tamanho <num>,3
ola gente bom dia acabei de ver o post da bia sobre camisas somos uma pequena alfaiataria e camisaria e o core da nossa criacao gostaria muito de apresentar nosso produto pra voces se voces acharem conveniente por favor indiquem a melhor forma de contato abraco stella,1
pergunta da pra usar a camisa viajante em festa de dia resposta combinacoes e ocasioes,1
poder,10
zona,10
ola silvana boa tarde tudo bem estamos entrando em contato porque identificamos que ha um tempo vocaa demonstrou interesse nas sapatilhas da bia que apareceram em um dos nossos reels agora eles esta o disponaveis no site do curadobia dd segue o link <url> obrigada por nos acompanhar silvana qualquer daovida estamos a disposia a o equipe curadobia d,5
you sent an attachment,5
tem body preto no GG?,3
valor do frete pro 05010-020?,12
nunca,10
que vestido posso usar com calça alfaiataria? quero algo moderno,1
tem body verde tamanho PP?,7
