texto,intent_true,intent_pred
não tem mais numeração 37,duvida_tamanho,outros
boa noite.,saudacao,saudacao
"estou com duvidas sobre o tamanho da saia unica, visto 42 , mas as medidas no quadro de tamanhos parecem grandes, mas existe a informação de que o tamanho 1 corresponde ao 36….",duvida_tamanho,tamanho_modelagem
bom dia … obrigada 🙏🏻,saudacao,saudacao
poxa… que pena… quando tiverem me avise por favor,outros,nao_entendi
ok,outros,nao_entendi
obrigada,agradecimento,agradecimento
cadê? quero,outros,nao_entendi
"bia, td bom? não estou conseguindo finalizar a compra da ""regata podrinha"". coloquei os dados do cartão e no campo cvv eu ponho os números mas o sistema ignora que eu coloquei. tentei várias vezes, acho que está com problema…",preco_pagamento,outros
que lindoo😍,outros,nao_entendi
👏,outros,nao_entendi
"boa tarde, pessoal! tudo bem? estava namorando um macacão verde no site da marca d-aura, porém não localizei mais 😕. saiu de coleção? não terá reposição? aguardo. obrigada milene",disponibilidade,outros
tudo bem também. que pena 😕 eu queria exatamente o verde! 😩,outros,nao_entendi
vai ter reposição dessa calça?,disponibilidade,outros
ola! muitíssimo obrigada 💋,saudacao,agradecimento
que calça maravilhosa,agradecimento,nao_entendi
qual o preço?,preco_pagamento,formas_pagamento
"link da calça, por gentileza",outros,outros
"olá, sou o gerente de vendas da pg game platform. quero falar com você sobre parcerias. nossa plataforma foi licenciada conjuntamente pelo governo federal brasileiro e pelo governo de curaçao em outubro. você pode se juntar a nós e lhe daremos altas comissões. entre em contato comigo pelo whatsapp: +13434802605",onde_comprar,outros
gostaria a camisa branca tamanho m. é possível?,duvida_tamanho,tamanho_modelagem
"ola pessoal ! tudo bem?! sou a lalá cunha (@laisfcunha) e vim contar um pouco sobre o @coracora_studio estamos em sp e fazemos fotografia, vídeos em formato reels, direção de arte e styling para marcas, de acordo com a sua necessidade. fazemos trabalhos exclusivos para as marcas e, em breve (final de março) também faremos o nosso próximo shooting collab, uma diária criada para incluir várias marcas que têm produtos a serem fotografados, necessitam de um material de qualidade, mas que não querem ter um alto valor de investimento nisso. o proximo collab será em uma locação linda e as modelos foram escolhidas à dedo, e acho que combina muito com a marca de voces. abaixo mando mais infos. vamos conversar sobre essas possibilidades? fico aqui a disposição abraços, lalá 11 972686892",preco_pagamento,outros
"olá!! bom dia!! sou muito fã da bia, mas nunca comprei no curadoria. uma dúvida: como faço para escolher um tamanho com mais segurança? tem uma tabela de medidas para servir de referência? obrigada",duvida_tamanho,tamanho_modelagem
🔥,outros,nao_entendi
que lindo tudo!,outros,nao_entendi
"olá! bom dia! roupas lindas aqui! mas não encontrei muitas opções de tamanhos maiores. é isso mesmo? tenho uma cliente que se enquadraria perfeita nesse estilo mais contemporâneo, mas é um tamanho g, gg. 44/46. poderiam me sugerir algumas opções?",duvida_tamanho,tamanho_modelagem
olá! muito obrigada!! vou ver em breve!!,saudacao,saudacao
preço?,preco_pagamento,formas_pagamento
oii,saudacao,nao_entendi
obrigada! eu aviso sim!! gostei bastante! vou levar para a cliente.,agradecimento,outros
olá! tudo bem? teria um contato do responsável da marca ou comercial para falarmos? obrigada carol 🤍,saudacao,saudacao
"olá, td bem? fiz uma compra com vc e recebi apenas o tricot. vc pode me ajudar ? muito obrigada desde já !",saudacao,outros
não estou conseguindo entrar no site para fazer compra,outros,nao_entendi
oiee,saudacao,outros
gosto muito dos looks mas percebo que ha muito jogo c volumes,pedido_sugestao,outros
nao sei se ficaria legal p quem esta um.pouco acima do peso,duvida_tamanho,outros
sua roupa jeans é de onde?,outros,outros
"perfeito, ana. obrigada pelo retorno. 😊",agradecimento,agradecimento
ameiiiiiiii,outros,nao_entendi
"olá!! tudo bem? estou apaixonada por essa jaqueta bacanuda da foto. o preço de 546, pula pra setecentos e tanto na hora de comprar. é isso mesmo? entra um valor de comissão na hora da compra?",preco_pagamento,outros
obrigada,agradecimento,agradecimento
uma coisa de lindo!,outros,nao_entendi
oi! esse conjunto marrom é vendido também ?,saudacao,outros
obrigada,agradecimento,agradecimento
bom dia. gostei da calça. vai ter no site? obrigada,saudacao,outros
"bia, você acaba comigo com tantas coisas lindas do curadobia!!! queria muito que tivesse frete internacional ( canadá) eu fico aqui babando!!!! 😍",prazo_entrega,outros
"oi ana, obrigada pela resposta! bom, eu vou continuar na torcida pra esse frete internacional se materializar um dia desses pq a gente quer comprar essas coisas lindas e usar logo, né? … infelizmente com o preço do dólar não tenho recebido as amigas aqui tão frequentemente mas é uma boa ideia também - obrigada!!!!",prazo_entrega,outros
nossa . perfeito,agradecimento,outros
bem e vc ana!! muito obrigada,agradecimento,agradecimento
"deu certo, sim. obrigada",agradecimento,agradecimento
adorei! como funciona ?🤩,outros,nao_entendi
"oi ana boa tarde! obrigada pelo contato. sim, estou interessada. tentei comprar após a mensagem da bia mas ainda estava indisponível",saudacao,outros
"ótimo, me avise por favor. um abraço e obrigada",agradecimento,agradecimento
"visto g, qual tamanho seria? quais cores tem? tem a calça tb?",duvida_tamanho,tamanho_modelagem
uauuu ameiii! linda saia!,outros,nao_entendi
❤️,outros,nao_entendi
olá! esse conjunto ainda não está disponvel no site de vcs né ? poderia me dizer se onde é?,saudacao,outros
😍,outros,nao_entendi
fiz o processo 2x será q cobrou 2x?,outros,nao_entendi
ahh reptilia adoro,outros,nao_entendi
😍,outros,nao_entendi
qual a marca do tenis?,outros,nao_entendi
"oii, bia! tudo bem? por favor, de onde é essa calça? yes i am? procurei aqui no feed e não encontrei… obrigada!",saudacao,outros
legal mto obrigada 💚,agradecimento,agradecimento
obrigada!,agradecimento,agradecimento
"olá! bom dia! me chamo anelisa e gostaria de confirmar se meu pedido foi realizado. não sei se esse é o canal mais adequado para essa solicitação, mas como não achei no site um campo para falar com vocês, decidi vir aqui. fiz essa compra ontem pelo site e logo depois de finalizar, apareceu uma mensagem dizendo que o pagamento não estava confirmado. no entanto no site diz que o pagamento foi efetuado e não recebi nenhuma mensagem do banco dizendo que o pagamento foi negado. além disso também não recebi um e-mail com os dados do pedido. muito obrigada desde já!",saudacao,formas_pagamento
"oi, ana! tudo e você? beleza, obrigada!",saudacao,outros
essa tshirt vai estar no evento? namoro tanto ela,outros,nao_entendi
isso é curadobia hein!,outros,nao_entendi
"ahh pena! mas na hora certa, vai dar!",outros,nao_entendi
bia! será que a tshirt angela motta branca com uma manga bafônica vai ter amanhã? preciso dela,disponibilidade,outros
obaaa!❤️❤️❤️,outros,nao_entendi
eba!,outros,nao_entendi
muito obrigada pelo retorno!,agradecimento,agradecimento
endereço,outros,nao_entendi
"adorei, obrigada vcs!",agradecimento,agradecimento
chico neto cd maré mar whatsapp 11965621065 http://palcomp3.com/chiconetodaparaiba/,onde_comprar,nao_entendi
sua camisa é linda,outros,nao_entendi
lindo o evento! amei,agradecimento,outros
"oi, quanto custa a blusa modernosa? tem gg ?",preco_pagamento,disponibilidade
👏,outros,nao_entendi
🥰,outros,nao_entendi
😍,outros,nao_entendi
qual o endereço???,outros,nao_entendi
👏,outros,nao_entendi
😍,outros,nao_entendi
foi só hoje ou vai ficar mais tempo?,outros,nao_entendi
essa gladiadora!! qual o número? tem 37??,disponibilidade,outros
e tem ela preta?,disponibilidade,nao_entendi
"eu quero sim, mas vc poderia me enviar a foto do modelo só pra eu confirmar",outros,nao_entendi
"vou querer a 46, qual é sua chave pix?",preco_pagamento,outros
yes!!,outros,nao_entendi
37?? não creio,outros,outros
tô de olho faz tempooo,outros,nao_entendi
"tá ótimo, obrigada",agradecimento,agradecimento
certo. qual o link da compra?,outros,outros
maravilha,outros,nao_entendi
obrigada ana!!,agradecimento,agradecimento
compra realizada,outros,nao_entendi
eu não recebi email confirmando a compra...,outros,nao_entendi
"gostei do conjunto, mas não vi no site",outros,nao_entendi
🥰,outros,nao_entendi
foi muito legal,outros,nao_entendi
eu adorei !! ja usei minha saia hj,outros,nao_entendi
❤️❤️❤️❤️❤️,outros,outros
vamos pensar no q podemos fazer juntas🌺🌺,outros,nao_entendi
olá,saudacao,saudacao
como eu poderia rastrear minha compra?,prazo_entrega,outros
bom dia,saudacao,saudacao
por onde posso acompanhar o envio da minha compra?,outros,outros
obrigada,agradecimento,agradecimento
"oi tudo bem? está com algum problema no site para pagar com cartão de crédito, o código cvv some",preco_pagamento,outros
oiiii tudo bem?,saudacao,outros
quanto tá essa blusa?,outros,outros
obrigada,agradecimento,agradecimento
ok. obrigada 😊,agradecimento,agradecimento
olá algum cupom de desconto na primeira compra?,preco_pagamento,formas_pagamento
oi! tudo certinho por aí? 💚 somos a ēcru e trabalhamos com embalagens sustentáveis e personalizáveis feitas em algodão cru! nossos principais produtos são: 💚 necessaire 💚 saquinhos 💚 ecobags nos identificamos muito com a sua empresa e adoraríamos te apresentar nosso catálogo! posso te enviar mais informações pelo e-mail ou whatsapp? ah! também aceitamos propostas de orçamento ou cobrimos valores de outros fornecedores!,onde_comprar,outros
olá! como tirar dúvidas de tamanho da peça?,duvida_tamanho,tamanho_modelagem
"boa tarde. estava previsto pra chegar hoje minha encomenda, porém nada foi entregue",saudacao,outros
"vc poderia checar se houve algum problema com os correios de são paulo, pois nem chegou no correio de curitiba",outros,nao_entendi
quero comprar mas preciso saber se ela calça certinho o número do calço o número 35. devo comprar o mesmo?,outros,outros
parece que o contato por aqui não é satisfatório...,outros,nao_entendi
oie!! essa calça vai ter reposição na curadoria?,disponibilidade,disponibilidade_estoque
vc teria alguma informação sobre a minha encomenda?,outros,outros
"oie!!! são lindas... porém aquele modelo foi o que mais me agradou...mas tranquilo, super obrigada pela atenção",saudacao,nao_entendi
Bom dia. Gostei da calça. Vai ter no site? Obrigada,saudacao,outros
"Oi tudo bem? Está com algum problema no site para pagar com cartão de crédito, o código cvv some",preco_pagamento,outros
Que lindoo😍,outros,nao_entendi
Qual tamanho?,duvida_tamanho,tamanho_modelagem
Reagiu com 👍🏿 à sua mensagem,outros,nao_entendi
Cadê? Quero,outros,nao_entendi
"Obrigada pelo retorno, as peças são incríveis! É que me apaixonei por essa calça, então foi ela que me prendeu o olhar! 😉☺️",agradecimento,outros
"Oi Time da Curadobia tudo bem? Sou Joana, sigo o perfil e amo! Tem uma calça que vi numa propaganda, que me apaixonei, mas não encontrei no site. Queria saber de onde ela é, por favor. Se puderem, vocês me contam? Super obrigada! Bj",disponibilidade,outros
👏,outros,nao_entendi
Adorei! Como funciona ?🤩,outros,nao_entendi
Tô chegando!,outros,nao_entendi
Tutu. Meu filho é Tutu. Arthur kkkk,outros,nao_entendi
Tem cupom de desconto primeira compra?,preco_pagamento,formas_pagamento
Olá!! Como vai funcionar? Onde vai ser? Obrigada!!,saudacao,outros
De onde é esse Macacão maravilhoso!!! Amo ❤️,agradecimento,outros
Qual o preço?,preco_pagamento,formas_pagamento
Que calça maravilhosa,agradecimento,outros
Lindas !!,outros,nao_entendi
Reagiu com 👍 à sua mensagem,outros,nao_entendi
É acolchoada ?,outros,nao_entendi
Obrigada !!,agradecimento,agradecimento
Essa sandália calça certo ?Calço 36 .Será que preciso comprar 37 ?,duvida_tamanho,outros
Vocês irao vender Oysho????,outros,nao_entendi
😍,outros,nao_entendi
Oi BIA. Sou Erika dos @brincosdiferentes. Gostaria de saber como você trabalha em relação a promoção de produtos. Meus brincos são autorais e os fabrico a 39 anos. A produção é 100% nacional. Fabricamos desde a liga do metal até o banho de ouro 18k. Nossos brincos são todos bordados a mão com um finíssimo arame de cobre e depois banhado a ouro. Espero seu contato. Obrigada.,saudacao,outros
Ola! Muitíssimo obrigada 💋,saudacao,agradecimento
"Olá, Tudo bem? Entre em contato com nosso comercial, 085987859507",saudacao,saudacao
"Olá, eu encontro as medidas no site?",duvida_tamanho,outros
"Olá, quanto custa a pantalona?",preco_pagamento,outros
"Oiii boa tarde , Me chamo Talita e sou figurinista na emissora CNBC @cnbc licenciada pela @otimesbrasil , uma emissora nova que transmite jornalismo de negócios e é lider mundial no seu segmento. Temos no nosso elenco grandes nomes do jornalismo incluido Carol Barcellos , Rita Wu, Erica Reis , Christiane Pelajo , Zeca Camargo, Natalia Ariade estou apenas dando um exemplo do time de peso que faz parte da emissora. As meninas são a cara da marca, elas postam , marcam o @, tem o manequim otimo e sao mega fotogênicas. Podemos alinhar a produção , me ajudem rs vai ser uma parceria incrivel ! um beijo e aguardo retorno",disponibilidade,outros
Gostaria a camisa branca tamanho M. É possível?,duvida_tamanho,tamanho_modelagem
Mto obrigada msm,agradecimento,agradecimento
"Sim! A Carol entrou em contato comigo! Uma fofa , super atenciosa",outros,nao_entendi
Oiee! Bom dia,saudacao,saudacao
Mto obrigada pelo retorno,agradecimento,agradecimento
Oie,saudacao,outros
Conseguem me ajudar por aqui?,agradecimento,outros
"Sobre a troca da calça que comprei (quero trocar por um tamanho menor). Recebi um e-mail de vcs no dia 29/08/24 , respondi mas, dps disso não tive mais retorno",troca_devolucao,outros
Td bem?,outros,outros
Olá bom dia,saudacao,saudacao
Como é o processo da troca?,troca_devolucao,outros
"Mas, ficou grande😫",troca_devolucao,nao_entendi
Meu pedido chegou hj!!,outros,nao_entendi
Olá!!,saudacao,saudacao
Eu queria usar nas fotos que irei fazer amanhã,outros,nao_entendi
Aiiiin que pena,outros,nao_entendi
Vc consegue rastrear o meu pedido?,prazo_entrega,outros
E ainda não chegou,outros,nao_entendi
Eu comprei a calça pantalona branca no dia 13/08,disponibilidade,outros
"Olá , bom dia",saudacao,saudacao
Olá,saudacao,outros
Preciso de uma ajudinha com o meu pedido,outros,nao_entendi
"Olá, boa tarde",saudacao,saudacao
Ainda hj vou efetuar a compra da calça,outros,nao_entendi
Mto obrigada,agradecimento,agradecimento
Ahhh maravilha,outros,nao_entendi
"Caso não fique com, como funciona a troca?",troca_devolucao,outros
Bom dia,saudacao,saudacao
Oieee,saudacao,outros
Maravilha!,outros,nao_entendi
Gostaria de saber o tamanho da cintura dessa calça no tamanho M,duvida_tamanho,tamanho_modelagem
"Olá, boa noite",saudacao,saudacao
Lindíssima,outros,outros
😍,outros,nao_entendi
Obrigada! Eu aviso sim!! Gostei bastante! Vou levar para a cliente.,agradecimento,outros
Oii,saudacao,nao_entendi
Olá! Muito obrigada!! Vou ver em breve!!,saudacao,outros
"Olá! Bom dia! Roupas lindas aqui! Mas não encontrei muitas opções de tamanhos maiores. É isso mesmo? Tenho uma cliente que se enquadraria perfeita nesse estilo mais contemporâneo, mas é um tamanho G, GG. 44/46. Poderiam me sugerir algumas opções?",duvida_tamanho,tamanho_modelagem
Qual foi a mensagem?,outros,nao_entendi
Este é meu WhatsApp…,onde_comprar,outros
Ola!,saudacao,saudacao
Muito obrigada!,agradecimento,agradecimento
Email: adrianaleitecarvalho@gmail.com,outros,outros
Meu tel 21 99245-3454,outros,nao_entendi
Alguém poderia entrar em contato comigo por e-mail ou WhatsApp? O site de vcs parece que está com problemas. Não funciona direito não.,onde_comprar,outros
Fiz uma compra de um casaco com vcs e não vestiu bem. Gostaria de trocar por uma calça fresquinha tamanho M.,troca_devolucao,outros
"Olá Curadobia, tudo bem? Agradecemos o interesse pela marca. Para garantir que você receba a atenção e cuidado adequados, pedimos a gentileza de encaminhar mais informações como contatos, rede social e portfólio para mkt.conteudo@escuderoonline.com.br. Nossa equipe de marketing é especializada nesse assunto. Dessa forma, tenho certeza de que eles avaliarão e, se houver interesse, entrarão em contato prontamente. Fique à vontade para entrar em contato caso tenha alguma dúvida. Estamos aqui para ajudar.",saudacao,outros
Reagiu com 👍 à sua mensagem,outros,nao_entendi
"Amoooo suas rasteiras, não são da sua Lj, mas poderia indicar aonde têm aquela custo benefício?",disponibilidade,outros
"Bia, td bom? Não estou conseguindo finalizar a compra da ""regata podrinha"". Coloquei os dados do cartão e no campo CVV eu ponho os números mas o sistema ignora que eu coloquei. Tentei várias vezes, acho que está com problema…",preco_pagamento,outros
🔥,outros,nao_entendi
👏,outros,nao_entendi
Olá! Tudo bem? Tem cupom para 1a compra?,cupom_primeira,outros
Muito obrigada!! Tenham um bom fim de semana!,agradecimento,agradecimento
Você poderia me passar o contato dos responsáveis?!,outros,nao_entendi
"Somos uma produtora de áudio visual, e achamos que seria interessante apresentar o nosso trabalho e portifólio!",outros,outros
Tudo bem também!!,outros,nao_entendi
"Oii, tudo bem??",saudacao,outros
Sua camisa é linda,outros,nao_entendi
Quero comprar mas preciso saber se ela calça certinho o número do calço o número 35. Devo comprar o mesmo?,outros,outros
E a blusa?,outros,outros
E a calça é de onde?,outros,nao_entendi
"Muito obrigada, legal que sou do mesmo tamanho que ela!",duvida_tamanho,outros
Gostaria de saber qual a altura e medidas da Bia pra entender melhor o tamanho de referência.,duvida_tamanho,tamanho_modelagem
😍,outros,nao_entendi
"Oi Ana a Marcia Fonseca esta em contato com vc, ne? Vamos conversar sim, a Fernanda tem mto interesse",disponibilidade,nao_entendi
Maravilha 🙌🏼,outros,nao_entendi
Ops é a blusa Pah,outros,nao_entendi
Obrigada,agradecimento,agradecimento
Mas gostaria de experimentar antes de comprar. É possível? Meu cel (11) 99904-7575,outros,nao_entendi
Eu amei a blusa branca Tcharam 🥰,disponibilidade,outros
Olá! Bom dia,saudacao,saudacao
Ibaaaa,outros,nao_entendi
Obrigada! Beijinhos,agradecimento,outros
"Oi Bia, tudo bem? Adorei a @curadabia, (o nome ficou demais), e claro ja fui olhar as peças! Não localizei tabela de medidas! Porem, pelo tamanho das peças que vc veste o G provavelmente não vai caber em mim! Uso 46/48, a depender da confecção! Pense com carinho em fazer uma curadoria para tamanhos normais! Desejo muito sucesso nessa nova empreitada! Que Deus te abençoe! Bjos!",duvida_tamanho,tamanho_modelagem
Obrigada,agradecimento,agradecimento
Quanto tá essa blusa?,outros,outros
Oiiii tudo bem?,saudacao,outros
Oba! ❤️,outros,nao_entendi
"Olá, fiz uma compra com vocês. Tudo certo?",saudacao,outros
😍,outros,nao_entendi
Olá! Tudo bem? Teria um contato do responsável da marca ou comercial para falarmos? Obrigada Carol 🤍,saudacao,outros
😍,outros,nao_entendi
De onde é a sandália linda?,outros,nao_entendi
Oi! Tudo certinho por aí? 💚 Somos a ĒCRU e trabalhamos com embalagens sustentáveis e personalizáveis feitas em algodão cru! Nossos principais produtos são: 💚 Necessaire 💚 Saquinhos 💚 Ecobags Nos identificamos muito com a sua empresa e adoraríamos te apresentar nosso catálogo! Posso te enviar mais informações pelo e-mail ou Whatsapp? Ah! Também aceitamos propostas de orçamento ou cobrimos valores de outros fornecedores!,onde_comprar,outros
😍,outros,nao_entendi
😍,outros,nao_entendi
👏,outros,nao_entendi
😍,outros,nao_entendi
Que roupa bonita,outros,outros
😍,outros,nao_entendi
❤️,outros,nao_entendi
"Olá, tudo bem?! Meu nome é Leonardo, trabalho na importadora @Lulitex_textil @lulitexfashion Vi o instagram da marca e vocês tem o perfil Lulitex, muito sofisticação e bom gosto. Trabalhamos com pronta entrega e importação de tecidos exclusivos de acordo com a demanda do cliente. Nosso showroom tem um acervo enorme. Será um prazer recebe-los em uma visita. Poderia me passar o contato do estilo ou compras? Desde já agradeço a atenção. Att, Leonardo José E-mail: leonardo@lulitex.com.br PABX: +55 11 2105 1541 WHATSAPP: 11 9.9600-2547 www.lulitex.com.br",prazo_entrega,outros
Adorei a dica!,outros,nao_entendi
Adorei!!!! 😘😘🌷,outros,outros
"Bom dia tudo bem? Então eu tenho mito daqueles vestidos , com estampas, e alguns até são estampas geométricas e todas as opções possíveis . Como posso fazer que não fiquem parecendo quando usar aquelas roupas que não tem nada haver comigo . Eu estou em uma fase de camisa, calça jeans bem moderna . E roupas mais discretas . Mas é esses vestido como usar ?",disponibilidade,disponibilidade
Ameiiiiiiii,outros,outros
😍,outros,nao_entendi
👏,outros,nao_entendi
🥰,outros,nao_entendi
Poxa… que pena… quando tiverem me avise por favor,outros,nao_entendi
Bom dia … obrigada 🙏🏻,saudacao,saudacao
Não tem mais numeração 37,duvida_tamanho,outros
"Oi Ana, obrigada pela resposta! Bom, eu vou continuar na torcida pra esse frete internacional se materializar um dia desses pq a gente quer comprar essas coisas lindas e usar logo, né? … infelizmente com o preço do dólar não tenho recebido as amigas aqui tão frequentemente mas é uma boa ideia também - obrigada!!!!",prazo_entrega,outros
"Bia, você acaba comigo com tantas coisas lindas do curadobia!!! Queria muito que tivesse frete internacional ( Canadá) eu fico aqui babando!!!! 😍",prazo_entrega,outros
"Tá ótimo, obrigada",agradecimento,agradecimento
"Vou querer a 46, qual é sua chave pix?",preco_pagamento,outros
"Oi, quanto custa a blusa modernosa? Tem GG ?",preco_pagamento,disponibilidade
"Certo, obrigada !!! O prazo de entrega são 19 dias mesmo ?",prazo_entrega,outros
"Olá vcs tem uma tabela de medidas para essa calça , amei e gostaria de escolher o tamanho certo visto 40 e tenho 1.05 de quadril , então não tenho certeza do p ou m Poderiam me ajudar ? No aguardo Grata Adriana Baggio",duvida_tamanho,tamanho_modelagem
"Bom Dia Gostei muito de uma calça mais gostaria de ter informações dos tamanhos , se te tabela de medidas , Como faço para saber , poderiam me Ajudar ? No aguardo Grata Adriana Baggio",duvida_tamanho,tamanho_modelagem
Bia gosto muito das suas bolsas . Poderia passar umas dicas ?? Não encontrei no seu site …,outros,outros
Uhuu,outros,nao_entendi
"Oiee tudo bem? Amei a bota, tem curadoria dela? Bjos",disponibilidade,nao_entendi
Obrigada,agradecimento,agradecimento
Nao sei se ficaria legal p quem esta um.pouco acima do peso,duvida_tamanho,outros
Gosto muito dos looks mas percebo que ha muito jogo c volumes,pedido_sugestao,outros
Oiee,saudacao,outros
😁😁,outros,nao_entendi
❤️❤️,outros,nao_entendi
"Olá!! Tudo bem? Estou APAIXONADA por essa jaqueta bacanuda da foto. O preço de 546, pula pra setecentos e tanto na hora de comprar. É isso mesmo? Entra um valor de comissão na hora da compra?",preco_pagamento,outros
Você é linda e de uma delicadeza admirável,outros,nao_entendi
"Adorei, obrigada vcs!",agradecimento,agradecimento
😍,outros,nao_entendi
993811193,outros,nao_entendi
11,outros,nao_entendi
Pode me chamar novamente por favor?,outros,outros
Oi,saudacao,nao_entendi
Muito obrigada,agradecimento,agradecimento
Bom dia. Comprei esta blusa mas a parte que passa encima do ombro está solta. É assim mesmo? Podemos falar para eu entender melhor? Obrigada. Meu cel 983389576,saudacao,outros
Obaaa!❤️❤️❤️,outros,outros
Bia! Será que a tshirt Angela Motta branca com uma manga bafônica vai ter amanhã? Preciso dela,disponibilidade,outros
"Ahh pena! Mas na hora certa, vai dar!",outros,nao_entendi
Isso é Curadobia hein!,outros,nao_entendi
Essa tshirt vai estar no evento? Namoro tanto ela,outros,nao_entendi
Uma coisa de lindo!,outros,nao_entendi
😍,outros,nao_entendi
Olá tudo bem Ana e vc? Que bacana… Vou passar o WhatsApp da Maiá pode falar com ela por gentileza! 11-983268095,onde_comprar,outros
tenho interesse nessa jaqueta,outros,nao_entendi
Vou amanhã. Obrigada,agradecimento,outros
Acha melhor pegar maior?,outros,outros
Lindaaaa,outros,nao_entendi
Oii comprei a bico fino. O dedo fica um pouquinho de lado pra fora né? Mas super confortável,duvida_tamanho,nao_entendi
Não tenho nada da Paula Ferber. A numeração é normal a forma?,duvida_tamanho,nao_entendi
Legal. Obrigada,agradecimento,agradecimento
Eu amei a que tem a ponta. Duvida. Tem que ter tornozelo fino? Obrigada,disponibilidade,nao_entendi
https://www.instagram.com/ac.gromann?igsh=MWE4dTZiY2IzeTAxNw==,onde_comprar,nao_entendi
https://www.instagram.com/numerodez.numerodez/profilecard/,onde_comprar,nao_entendi
https://www.instagram.com/luiseramirezbrand/profilecard/,onde_comprar,nao_entendi
https://www.instagram.com/wendyelborin/profilecard/,onde_comprar,nao_entendi
https://www.instagram.com/giom.ei/profilecard/,onde_comprar,nao_entendi
https://www.instagram.com/voceamara/profilecard/,onde_comprar,nao_entendi
https://www.instagram.com/durgashop/profilecard/,onde_comprar,nao_entendi
https://www.instagram.com/_nata.oficial/profilecard/,onde_comprar,nao_entendi
https://www.instagram.com/___lourie___/profilecard/,onde_comprar,nao_entendi
Caraca muito!,outros,nao_entendi
https://www.instagram.com/minimadeia/profilecard/,onde_comprar,nao_entendi
https://www.instagram.com/usemyk/profilecard/,onde_comprar,nao_entendi
https://www.instagram.com/agola__/profilecard/,onde_comprar,nao_entendi
https://www.instagram.com/tatho.brasil/profilecard/,onde_comprar,nao_entendi
https://www.instagram.com/_nata.oficial?igsh=N204dXp5bzN6azBz,onde_comprar,nao_entendi
😍 body MyBasic,outros,outros
😍,outros,nao_entendi
Obrigada,agradecimento,agradecimento
Onde posso comprar?,outros,outros
"Ola pessoal ! Tudo bem?! Sou a Lalá Cunha (@laisfcunha) e vim contar um pouco sobre o @coracora_studio Estamos em SP e fazemos fotografia, vídeos em formato reels, direção de arte e styling para marcas, de acordo com a sua necessidade. Fazemos trabalhos exclusivos para as marcas e, em breve (final de março) também faremos o nosso próximo SHOOTING COLLAB, uma diária criada para incluir várias marcas que têm produtos a serem fotografados, necessitam de um material de qualidade, mas que não querem ter um alto valor de investimento nisso. O proximo collab será em uma locação linda e as modelos foram escolhidas à dedo, e acho que combina muito com a marca de voces. Abaixo mando mais infos. Vamos conversar sobre essas possibilidades? Fico aqui a disposição Abraços, Lalá 11 972686892",preco_pagamento,outros
"As duas camisas, o body, a calça e o colar. Eu visto P.",duvida_tamanho,nao_entendi
"Olá, tudo bem? Seriam essas peças:",saudacao,outros
"Olá! Sua curadoria, projeto editorial e gráfico, são incríveis. Parabéns! Mas sua plataforma de e-commerce não funciona bem, estou desde ontem tentando fazer compras, mas páginas não carregam, carrinhos esvaziam. Muito difícil!",saudacao,outros
Preço?,preco_pagamento,outros
"Obrigada pelo retorno! Namoro o modelo gladiador, me lembro dele, mas quando fui procurar, já não tinha mais 😐",agradecimento,nao_entendi
E esses sapatos incríveis? Teremos a chance de tê-los? Rs,outros,nao_entendi
Já tô seguindo 👊🏻,outros,nao_entendi
Esse é o fechado,outros,nao_entendi
"Link da calça, por gentileza",outros,outros
Bom dia! Ontem tive o prazer de conhecer vc ao vivo! Eu estava no Mil Plantas! Vc e lindíssima! ❤️,saudacao,saudacao
Obrigada pelo convite! Adorei a minha sandalia nova! ♥️,agradecimento,outros
Pode,outros,nao_entendi
Sim,outros,nao_entendi
Eu não recebi a confirmação dessa compra,outros,nao_entendi
Oi,saudacao,nao_entendi
Volta pro estoque?,disponibilidade,outros
A regata arrumadona M,duvida_tamanho,outros
Oi!,saudacao,nao_entendi
E a regata arrumadona?,outros,nao_entendi
A regata chiquetosa vai voltar pro estoque?,disponibilidade,outros
O site está passando por problemas?,outros,nao_entendi
😍,outros,nao_entendi
Vcs tem desconto para primeira compra?,preco_pagamento,formas_pagamento
Muito obrigada pelos esclarecimentos,agradecimento,agradecimento
Eh isso mesmo?,outros,nao_entendi
"Fui olhar para comprar o tamanho 1 dessa calça, porém a largura da cintura e do quadril eh a mesma - 98",duvida_tamanho,tamanho_modelagem
Foi só hoje ou vai ficar mais tempo?,outros,nao_entendi
Ola boa tarde tudo bem? Tenho uma confecção trabalho com tecido plano e malha faço todo desenvolvimento da peça começando da peça piloto e entrego a produção passada e embalada caso tenha interesse meu número é 11948549084 Obrigada,saudacao,saudacao
Adoro…!,outros,nao_entendi
Obrigada ;) Enviarei!,agradecimento,agradecimento
Obrigada pelo retorno,agradecimento,agradecimento
Como posso fazer essa apresentacao?,outros,nao_entendi
Bom dia!,saudacao,saudacao
Ambos :),outros,nao_entendi
"Olá Bia! Te vi no post da teti gio Amei o seu perfil Eu tenho uma marca de joias autorais, com design minimalista e ouro sustentável Adoraria te apresentar @eunoyah_jewelry Também gostaria de conversar sobre divulgacao, se houver interesse, claro :) Muito obrigada Um abraço Evelyn",saudacao,saudacao
Olá Algum cupom de desconto na primeira compra?,preco_pagamento,outros
Bem e vc Ana!! Muito obrigada,agradecimento,outros
Que lindo tudo!,outros,nao_entendi
Por nada!,outros,nao_entendi
